Date,Latitude,Longitude,WS2M,T2M,T2M_MAX,T2M_MIN,T2MDEW,RH2M,PS,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DIFF,FIRE
20030725,-92.99225811,32.88311011229989,0.03,27.9,37.44,18.15,16.23,54.09,100.76,35.16,23.82,10.28,0
20120129,-117.5902972,27.530357989016835,3.99,16.45,16.59,16.22,14.41,87.63,102.01,25.84,17.97,2.5,0
19860808,-93.07024764,45.9109088,2.84,19.34,24.24,13.71,15.28,78.85,97.2,28.63,25.29,7.89,0
20000307,-91.07766333,29.97479249616156,3.01,19.49,26.38,14.85,16.06,81.64,101.98,31.57,16.34,11.94,0
20190130,-88.9417736,29.815360503888417,5.59,9.04,10.63,7.21,1.94,61.44,102.58,26.77,13.16,8.44,0
19860407,-99.44687941,40.39983194508107,4.01,15.01,23.08,9.35,4.37,51.57,93.45,25.74,17.03,11.82,0
19931229,-112.6108196,35.85488271,2.54,-1.28,5.74,-5.46,-6.5,71.22,82.73,17.47,12.59,1.55,0
20140824,-80.47803379,46.91703675135094,0.21,19.53,25.98,13,14.82,76.39,98.13,30.23,21.52,7.28,0
20101007,-116.891291,33.91411582780937,1.62,12.87,20.61,7.37,4.3,61.75,90.77,25.08,20.07,3.5,0
19860628,-99.44819312,40.945101196246235,2.93,28.16,35.67,19.55,15.82,52.12,93.24,29.55,30.74,4.99,0
19870921,-75.96142085,30.179414079881578,4.17,28.04,28.23,27.88,24.22,79.68,101.43,-999,17.14,15.93,0
20130401,-93.70539454,37.041718233503495,2.86,6.71,12.61,2.93,2.71,77.36,97.68,26.16,16.27,8.25,0
20040813,-74.80821345,25.949683697396704,5.7,28.09,28.39,27.77,24.71,81.79,101.82,35.74,24.74,9.56,0
19990713,-77.8334878,28.251333466788232,3.52,27.73,28.07,27.42,23.02,75.52,101.97,34.97,27.71,3.02,0
19860813,-111.7750125,29.83519283742165,2.23,31.62,39.36,23.85,15.93,42.31,93.97,35.42,25.49,14.32,0
19920228,-114.0433249,34.23132266643934,1.46,16.68,25.18,8.33,1.08,38.49,95.87,25.27,19.5,6.25,0
19890511,-112.5786127,37.57707739640202,3.18,5.61,10.64,-0.87,-3.43,54.92,77.33,24.94,11.16,11.07,0
20141127,-94.70654396,38.49167797395313,1.92,-1.48,4.59,-5.68,-5.84,75.12,99.4,21.9,9.89,2.93,0
20011229,-108.209515,43.490857593570965,1.7,-7.93,-1.77,-11.33,-10.91,82.44,83.63,22.71,5.48,3.67,0
19860113,-76.52918192,44.42068550384498,2.08,-12.45,0.27,-21.54,-14.31,86.79,99.59,23.97,3.07,4.52,0
20210720,-92.50313125,41.05576985952233,1.08,24.47,28.69,18.63,18.85,72.15,99.07,34.17,23.55,10.79,0
19841008,-117.4309198,45.016816196876704,0.64,11.54,19.66,5.31,4.99,67.16,84.72,24.34,15.64,3.85,0
19990729,-103.3459277,35.99525288309346,3.34,29.15,37.1,20.44,12.17,37.88,86.2,32.18,28.07,9.81,0
19850517,-78.17152844,44.14087859330717,2.06,12.51,17.43,7.74,8.13,75.86,98.29,31.15,15.95,14.94,0
20150419,-89.91578403,47.07662965569082,2.94,4.84,7.56,2.77,2.81,86.82,98.4,29.36,4.35,3.65,0
20210217,-65.639024,48.39359882212261,1.28,-11.54,-9.76,-14.32,-12.3,97.92,96.15,19.02,8.66,3.98,0
20070113,-95.18165802,37.28095295516005,3.59,-5.75,-4.61,-6.69,-7.45,90.35,99.19,24.26,2.94,2.55,0
20040207,-94.45649133,47.79112683603317,1.68,-16.97,-11.28,-23.58,-17.36,98.22,97.65,15.92,10.99,2.11,0
19920921,-69.45490302,45.05208088522396,0.09,12.68,19.49,6.33,9.2,80.69,100.38,27.74,10.67,8.75,0
19990328,-93.36520343,43.861648581510025,6.63,5.53,10.19,0.98,0.75,73.5,96.93,25.45,12.85,11.92,0
19850403,-94.83464684,49.96346975717757,1.73,-0.27,2.15,-3.55,-4.32,75.75,96.22,25.58,10.8,11.41,0
20060425,-119.4261363,38.92167922162524,1.43,9.32,15.04,4.1,1.45,60.56,82.97,24.19,18.14,13.87,0
20050914,-114.2437488,25.26336854496736,6.76,21.06,21.38,20.67,18.26,83.92,101.4,31.25,24.54,7.89,0
20191213,-77.81352183,26.164373783720002,6.43,25.77,26.11,25.25,22.67,82.95,101.49,35.52,3.45,3.06,0
19900920,-99.70383482,47.74949267479985,3.11,13.12,17.6,9.34,7.02,67.65,94.85,31.82,5.86,6.13,0
19850109,-100.3833298,36.940094661489184,4.99,-1.86,5.03,-7.78,-4.59,82.7,91.87,22,4.96,3.26,0
20170424,-72.18602395,25.459501530979445,8.84,24.33,24.95,23.89,22.63,90.18,101.15,35.98,11.68,7.05,0
20080524,-104.2978824,39.086920434138854,4.05,12.81,21.08,2.83,-6.21,29.77,79.96,24.53,28.23,5.96,0
19890828,-116.1981755,27.90240669228207,6.15,19.24,19.42,18.99,17.13,87.42,101.33,30.87,22.27,17.8,0
20041008,-82.23686147,25.216689293557216,7.02,27.7,28.52,26.69,23.12,76.11,101.6,35.83,19.48,6.58,0
20061214,-100.6911725,26.370830910802418,1.01,17.35,25.92,11.49,10.96,69.87,93.98,29.86,9.16,6.54,0
20050418,-77.07383707,43.354133093841696,1.58,8.72,11.11,6.09,3.34,71.62,101.05,27.95,24.49,5.53,0
20181031,-117.670027,32.46244588173274,2.14,19.57,22.02,17.82,13.54,70.19,101.44,28.06,17.08,2.64,0
20070202,-77.56218443,49.479866485962525,0.37,-12.5,-8.7,-17.55,-12.97,99.88,96.35,20.56,3.94,3.63,0
19950806,-112.292108,25.127739210028533,5.01,23.76,24.41,23.09,20.81,83.52,100.66,34.3,24.86,9.71,0
19980403,-82.39609169,29.021154789377242,2.51,22.11,26.15,18,20.46,90.62,101.15,34.36,16.91,16.25,0
20110830,-106.5992534,32.44160763,1.2,30.08,38.92,20.84,11.04,36.53,86.28,33.03,25.82,4,0
20021025,-121.6738095,46.94684095737535,0.54,4.25,12.29,-0.24,-4.8,56.09,91.12,18.52,12.59,1.92,0
20021206,-109.8956672,45.74423364976445,2.82,-3.2,2.49,-6.29,-8.7,67.09,79.93,21.47,6.45,2.45,0
20070218,-100.5001218,40.00084233670183,3.22,3.29,14.42,-2.62,-3.77,62.33,91.78,21.85,15.52,3.67,0
20070221,-97.78630007,46.006682061277616,7.03,0.66,7.67,-6.5,-4.15,71.51,96.06,23.11,11.47,6.9,0
20241110,-118.6607028,33.214229843335865,4.5,16.86,17.05,16.63,14.57,86.26,101.52,25.49,14.49,-999,0
19921010,-124.4080494,28.92377298192263,2.41,19.06,19.39,18.81,15.68,80.66,101.79,35.07,11.33,11.12,0
20201224,-109.8450226,31.47703057751893,4.04,1.76,10.12,-3.9,-16.52,24.04,86.24,21.46,8.64,7.61,0
19860927,-69.81397588,28.352872171485576,3.21,27.22,27.61,26.78,23.82,81.62,101.8,-999,19.37,11.65,0
19970717,-120.3794544,43.721837965506026,2.79,15.5,21.09,11.1,8.74,67.11,85.72,28.87,20.62,13.09,0
19841122,-77.65904476,40.52482918586931,0.21,-2.73,2.92,-6.07,-6.83,76.25,99.86,26.4,10.97,1.06,0
20090121,-80.85783961,25.249115950034444,6.34,13.77,15.5,12.16,8.25,70.21,102.14,25.01,17.75,3.62,0
19920513,-68.37516467,28.664772050817096,2.62,22.66,23.01,22.38,17.76,73.77,101.35,31.77,25.81,12.95,0
20080707,-87.29494038,48.60062394941214,2.2,8.99,12.55,6.07,7.22,89.39,98.74,30.23,25,13.02,0
19950728,-82.45890112,36.87024952290045,0,24.85,29.21,20.42,18,68.11,94.53,36.44,19.52,19.23,0
20220627,-72.35273816,46.286766045743775,0.31,20.37,24.1,14.27,15.99,78.61,99.55,31.71,23.26,9.43,0
20111223,-117.206645,47.462412679843794,1.38,-6.31,-0.84,-10.8,-9.37,81.19,94.58,20.18,4.21,3.03,0
20230420,-105.8283344,41.66477097596432,5.64,-2.03,1.53,-5.66,-11.3,48.9,78.05,20.64,21.4,12.27,0
20131207,-97.74533013,32.646493589635824,2.9,-6.3,-3.72,-9.78,-9.26,81.05,100.07,23.1,3.06,2.56,0
19890523,-102.9698854,34.278086344450415,3.53,26.55,37.46,16.45,5.18,34.44,86.72,33.98,29.2,9.53,0
20000223,-111.0327302,34.822101260006534,3.26,2.97,10.47,-3.71,-3.72,65.91,80.57,21.87,16.97,7.37,0
20030626,-88.63599728,25.050267290797684,3.8,27.8,28.29,27.04,23.67,78.17,101.52,35.78,27.46,6.83,0
20120205,-94.42589742,34.35129988932093,0.08,2.92,7.22,-0.25,0.28,82.97,98.43,26.91,6.12,4.9,0
20170716,-85.61310334,40.219293483129604,1.5,22.66,27.95,16.72,18.87,80.29,98.18,32.86,26.56,7.14,0
20080202,-89.29346309,39.10412304676573,3.14,-1.91,4.15,-7.63,-3.15,92.77,99.76,22.06,10.49,5.55,0
20060830,-67.54598186,48.64188218951791,1.07,12.06,14.89,9.39,8.78,81.59,97.51,29.48,13.94,6.88,0
20220913,-121.9384692,34.996117121268455,7.46,17.46,17.79,17.15,16.02,91.06,101.33,29.26,22.6,5.59,0
20011209,-109.7836318,44.67852703213606,0.86,-12.24,-5.24,-17.27,-12.67,99.42,73.94,17.38,7.61,1.65,0
20031124,-91.93043088,36.66741353684818,0.66,-1.22,4.67,-5.05,-7.6,63.38,99.1,18.96,13.37,1.52,0
20131217,-106.7823302,34.020015463718515,3.14,3.45,12.61,-1.6,-7.46,47.12,83.78,20.34,12.93,1.39,0
20091010,-75.27285993,29.210988568347496,1.77,26.63,26.85,26.23,23.52,82.98,101.8,34.84,19.66,3.81,0
19920105,-95.59355324,37.32776284692611,3.34,6.33,10.63,2.52,5.77,96.14,97.88,29.8,2.44,2.94,0
19940821,-108.7211958,47.00132304653886,1.94,25.36,35.01,14.95,5.37,30.55,88.08,31.69,18.5,11.08,0
20201128,-66.18030248,37.290093679827876,7.48,21.14,22.66,18.08,17.37,79,101.11,32.14,5.54,4.63,0
20180219,-79.21224857,39.204293932271455,0.68,5.2,11.37,-0.6,4.34,94.14,94.11,28.4,6.55,4.98,0
20150926,-69.7116709,25.273385105128344,1.76,27.82,28.06,27.4,23.29,76.32,101.21,36.02,20.71,5.42,0
20240613,-67.04111613,40.531731169833584,2.39,17.23,17.79,16.31,15.09,87.34,101.83,26.8,30.39,4.8,0
20090211,-74.9075678,43.41347013115002,0.83,3.47,6.64,1.22,4.12,99.69,95.05,25.62,6.22,3.43,0
20000201,-74.02418634,28.893107812838444,5.11,19.33,19.68,18.9,16.44,83.27,102.04,33.63,8.73,7.23,0
20040503,-68.11661664,35.57594686861012,7.84,20.64,20.92,20.26,17.59,82.56,102.17,31.67,25.13,10.52,0
19861228,-87.08050703,37.27788675292792,0.56,-0.77,5.06,-3.99,-3.12,85.98,100.77,20.92,3.24,3.76,0
20000916,-86.52992445,37.532701370937204,1.35,13.16,20.17,7.56,4.8,61.32,99.61,31.61,21.28,3.65,0
20130618,-119.0322436,34.544210102096294,3.37,21.4,31.33,12.19,3.5,35.58,92.43,25.01,32.4,3.09,0
19850804,-80.16777866,36.87131291416601,0.29,19.47,26.66,12.94,11.62,64.23,96.86,33.62,20.7,17.39,0
20030623,-102.9236179,42.295240417621784,3.5,17.57,22.67,12.35,10.31,64.92,87.01,33.59,15.14,10.79,0
19990430,-116.1587913,42.39436243250958,3.38,7.27,13.75,1.94,2.48,73.74,84.25,22.83,18.04,14.86,0
19850712,-85.37023319,49.83860554575172,0.1,14.37,19.52,9.75,9.12,74.39,98.15,30.33,25.28,19.02,0
20120902,-122.1002739,41.80127192548558,0.9,17.38,28.3,8.39,-1.22,34.77,86.24,24.62,24.99,3.17,0
19891114,-114.5304637,25.070562590597646,4.42,22.07,22.44,21.78,18.43,79.71,101.47,35.51,13.26,11.11,0
20080323,-118.5836452,35.69099632537909,1.75,15.9,26.04,6.08,-3.81,30.52,93.55,22.87,24.49,3.67,0
19880520,-125.863962,36.34030895202565,6.87,13.9,14.1,13.59,12.29,89.92,101.6,26.32,29.18,2.6,0
20220812,-103.0570404,48.96801908073017,2.04,24.07,32.69,14.97,14.64,60.27,94.59,33.15,24.41,5.65,0
