Date,Latitude,Longitude,WS2M,WD2M,T2M,T2M_MAX,T2M_MIN,T2MDEW,RH2M,PS,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DIFF,FIRE
20140703,-106.40689,36.28832,1.71,222,19.02,28.45,12.15,8.74,58.08,76.7,30.03,23.69,6.75,1
20140606,-107.24359,36.97471,1.37,207.6,20.01,29.74,8.76,-1.04,30.07,78.4,25.5,32.8,3.91,1
20140728,-107.28609,36.58638,2.25,162.1,21.2,24.92,17.64,13.08,61.52,80.45,32.82,18.27,11.07,1
20140819,-106.44469,36.54388,1.5,223.7,19.42,26.92,13.62,7.04,49.04,76.19,29.88,20.94,9.31,1
20140826,-106.05935,36.28155,1.16,225.4,14.99,18.67,11.11,11,78.19,76.63,30.51,12.85,9.35,1
20141005,-106.41049,36.99221,0.57,342.4,7.78,18.83,-1.02,-5.21,44.69,73.09,21.5,21.22,1.85,1
20150504,-107.21306,36.86361,1.03,191.9,14.01,20.83,7.92,2.39,48.66,78.35,27.6,20.88,8.96,1
20150504,-107.24944,36.98056,1.03,191.9,14.01,20.83,7.92,2.39,48.66,78.35,27.6,20.88,8.96,1
20150601,-105.99306,36.64361,1.38,248.4,17.67,24.86,9.95,5.54,48.34,76.41,27.07,25.55,7.5,1
20150629,-107.30028,36.52333,2.71,63.7,24.56,32.08,14.62,9.99,45.18,80.12,31.36,25.26,8.29,1
20150406,-106.225,36.375,2.8,254.4,6.81,15.99,-2.3,-7.36,40.15,75.69,20.56,27.27,3.62,1
20150410,-106.39611,36.23806,1.69,186.1,7.08,15.41,-1.7,-6.27,41.14,76.8,21.67,24.33,11.14,1
20150613,-107.24444,36.6525,1.41,328.2,16.53,21.31,11.65,8.84,62.25,79.58,29.76,16.31,10.25,1
20150620,-106.05,36.46667,1.2,285.9,21.5,30.37,12.43,1.96,32.77,76.38,26.1,32.84,3.14,1
20150701,-107.27111,36.85111,1.55,113.6,23.31,33.21,16.07,11.51,51.9,78.96,32.45,27.57,9.47,1
20150701,-107.29361,36.95889,1.55,113.6,23.31,33.21,16.07,11.51,51.9,78.96,32.45,27.57,9.47,1
20150702,-107.2575,36.87361,1.13,107.9,20.72,28.9,14.97,12.78,64.09,78.97,32.67,25.16,9.08,1
20150702,-106.29389,36.38083,0.67,104.4,19.3,28.32,14.56,12.3,69.94,76.5,30.84,19.56,9.61,1
20150703,-105.97361,36.66833,1.03,203.9,18.28,22.03,14.25,12.74,71.82,76.47,29.07,21.99,12.33,1
20150704,-107.27556,36.87417,0.78,193.5,20.16,24.84,15.4,12.72,64.5,78.89,31.99,23.69,7.44,1
20150704,-107.27528,36.875,0.78,193.5,20.16,24.84,15.4,12.72,64.5,78.89,31.99,23.69,7.44,1
20150801,-107.26889,36.88528,0.81,220,19.86,24.17,15.07,12.58,64.58,79.16,32.05,18.31,10.51,1
20150803,-107.20861,36.91722,1.22,277.3,19.56,27.31,13.37,10.75,61.73,78.9,28.15,29.27,3.87,1
20150804,-107.2575,36.7925,1.18,282,21.2,29.96,12.89,7.21,44.66,79.03,28.57,28.42,3.78,1
20191101,-106.15028,36.55056,1.36,272.9,0.52,10.62,-4.92,-14.95,30.43,76.44,18.11,16.95,1.53,1
20160915,-106.32889,36.73639,2.03,256.6,14.11,22.56,6.3,-0.48,41.61,76.38,23.4,24.11,2.66,1
20130603,-106.01719,36.43027,2.68,250.9,16.99,26.77,6.09,-1.43,37.2,76.04,25.65,27.52,7.12,1
20130603,-106.06049,36.48499,2.68,250.9,16.99,26.77,6.09,-1.43,37.2,76.04,25.65,27.52,7.12,1
20130608,-105.79879,36.43082,2.05,284.4,18.27,29.01,6.81,2.48,42.34,75.58,27.05,26.32,8.17,1
20130608,-105.80659,36.4236,2.05,284.4,18.27,29.01,6.81,2.48,42.34,75.58,27.05,26.32,8.17,1
20130426,-106.14859,36.54832,1.62,318.6,7.78,17.06,-0.69,-3.29,54.84,76.28,22.78,23.66,8.25,1
20130514,-105.60879,36.64055,1.24,229.6,13.75,23.19,6.49,2,50.68,75.88,25.79,21.75,7.78,1
20130521,-105.59469,36.54471,1.81,282.7,11.05,19.67,2.72,-3.08,42.83,75.53,24.21,28.57,6.46,1
20130529,-105.56189,36.53332,3.05,264,11.49,18.92,4.63,-4.63,36.02,74.94,22.73,29.58,9.33,1
20130718,-106.17749,36.55221,1.1,238.3,19.52,29.33,10.1,9.13,58.19,76.67,28.84,27.45,6.68,1
20170508,-107.27417,36.87667,1.65,170.5,14.03,23.78,5.38,0.61,46.12,78.23,25.92,27.76,8.72,1
20170725,-107.24139,36.80111,0.8,231.6,20.75,25.37,15.37,12.62,61.09,79.1,32.1,24.29,7.94,1
20171024,-105.99222,36.33444,0.63,312.3,8.48,17.43,0.32,-4.47,43.83,77.02,21.14,17.72,1.99,1
